#EEP,M/Mo,LogTeff,LogG,LogL/Lo,Gaia_G,Gaia_BP,Gaia_RP
3,0.207094,3.5039,4.9275,-2.1392,11.0995,12.6795,9.9499
4,0.316109,3.5179,4.7842,-1.6727,9.8909,11.3762,8.7637
5,0.48431,3.5545,4.7625,-1.2467,8.6827,9.9568,7.608
6,0.561234,3.56,4.7891,-1.2516,8.6795,9.9658,7.6044
7,0.399293,3.5372,4.899,-1.74,9.9771,11.3847,8.8709
8,0.365184,3.5329,4.9219,-1.8322,10.221,11.6487,9.11
9,0.360392,3.5328,4.9251,-1.8459,10.2558,11.6855,9.1445
10,0.362221,3.5329,4.9244,-1.8414,10.2453,11.6746,9.134
11,0.368355,3.5339,4.9186,-1.8248,10.202,11.6289,9.0911
12,0.38386,3.5357,4.9032,-1.7836,10.0946,11.5152,8.9849
13,0.413227,3.5401,4.8768,-1.7039,9.8857,11.2941,8.7797
14,0.783756,3.6014,4.5812,-0.7495,7.3572,8.6409,6.2889
15,0.831503,3.6142,4.5424,-0.6209,7.0105,8.2811,5.9482
16,0.578344,3.5776,4.7333,-1.2561,8.6917,10.0432,7.6058
17,0.583536,3.581,4.7255,-1.2338,8.633,9.9712,7.5517
18,0.583077,3.583,4.7241,-1.2299,8.6312,9.9433,7.5564
19,0.584825,3.5844,4.7244,-1.2228,8.6095,9.8952,7.5417
20,0.581874,3.585,4.7291,-1.2288,8.6197,9.8867,7.5583
21,0.579618,3.5852,4.7319,-1.2341,8.6261,9.881,7.5679
22,0.587426,3.5885,4.7255,-1.2105,8.5554,9.7867,7.5048
23,0.610563,3.5968,4.7086,-1.141,8.3477,9.5162,7.318
24,0.651274,3.6117,4.6773,-1.0195,7.9548,8.9936,6.9702
25,0.698281,3.631,4.6432,-0.8774,7.4102,8.2446,6.5024
26,0.70116,3.6314,4.6334,-0.8595,7.2858,8.0285,6.4026
27,0.893836,3.7147,4.5639,-0.3464,5.3181,5.49,4.7778
28,0.912673,3.7254,4.5618,-0.2936,5.0813,5.1928,4.5995
29,0.865567,3.7088,4.5803,-0.4031,5.4047,5.5782,4.8907
30,1.796481,4.0989,4.2448,1.9959,-2.1355,-3.2879,-1.5854
31,1.065352,3.7766,4.5191,0.0138,4.522,4.8136,4.063
32,1.082227,3.7804,4.5079,0.0459,4.4452,4.7309,3.9941
33,1.094963,3.7825,4.4983,0.0677,4.3958,4.68,3.9487
34,1.101101,3.7827,4.4924,0.0743,4.3842,4.67,3.9362
35,1.119853,3.7876,4.48,0.1137,4.2866,4.5628,3.8484
36,1.13985,3.7912,4.4664,0.1519,4.1907,4.4585,3.7616
37,1.1633,3.7961,4.45,0.1973,4.0769,4.3345,3.6585
38,1.185191,3.8009,4.4335,0.2391,3.974,4.223,3.5652
39,1.211738,3.8058,4.4141,0.2889,3.8477,4.0858,3.4515
40,1.270585,3.8181,4.3735,0.4032,3.555,3.7656,3.1862
41,1.273043,3.8165,4.3678,0.4024,3.5635,3.7796,3.1919
42,1.259176,3.8119,4.3752,0.3682,3.6599,3.8898,3.2774
43,1.361208,3.8305,4.3042,0.5499,3.2002,3.3914,2.8577
44,1.382129,3.8334,4.2888,0.5815,3.1258,3.3125,2.7888
45,1.712159,3.897,4.0488,1.1971,1.5873,1.6498,1.3924
46,2.365878,4.0058,3.6488,2.2452,-0.9985,-1.1342,-0.9463
47,2.240571,3.9726,3.8014,1.897,-0.1014,-0.1607,-0.1204
48,1.913466,3.9202,4.0914,1.2807,1.4429,1.4876,1.3064
49,1.895621,3.9192,4.1239,1.2367,1.5597,1.6096,1.4228
50,1.956013,3.9314,4.1174,1.3029,1.408,1.4413,1.3002
51,2.125967,3.9584,4.0687,1.5025,0.9366,0.9287,0.8927
52,2.150804,3.9619,4.0627,1.5302,0.8714,0.8586,0.8371
53,2.171367,3.965,4.0574,1.5518,0.8196,0.8023,0.7932
54,2.185372,3.9672,4.0547,1.5665,0.7859,0.7654,0.7641
55,2.196544,3.9685,4.052,1.5763,0.7639,0.742,0.7457
56,2.204607,3.9691,4.0495,1.5821,0.7514,0.7289,0.7351
57,2.211737,3.9696,4.0468,1.5865,0.7417,0.7189,0.726
58,2.221335,3.9696,4.0431,1.5935,0.7258,0.7029,0.7116
59,2.233993,3.9705,4.0384,1.6042,0.7018,0.678,0.6896
60,2.246351,3.9716,4.0338,1.6146,0.6761,0.6516,0.6675
61,2.259561,3.9727,4.0304,1.6255,0.6508,0.6244,0.6448
62,2.271333,3.9738,4.0267,1.6358,0.628,0.6002,0.6248
63,2.283215,3.9743,4.0228,1.6446,0.6063,0.5772,0.6048
64,2.294774,3.9747,4.0178,1.6542,0.5831,0.5537,0.5836
65,2.307486,3.9755,4.0099,1.6647,0.5562,0.5258,0.5577
66,2.321871,3.9758,4.0009,1.6788,0.5233,0.4927,0.5262
67,2.337552,3.9757,3.9894,1.6941,0.4853,0.4537,0.4891
68,2.356845,3.9764,3.9766,1.7136,0.437,0.4059,0.4429
69,2.374063,3.977,3.9625,1.7325,0.3901,0.3565,0.3979
70,2.393029,3.9779,3.948,1.7528,0.3382,0.3041,0.3481
71,2.411618,3.9783,3.9328,1.7747,0.2857,0.2516,0.2974
72,2.430191,3.9782,3.9156,1.7951,0.2331,0.1973,0.2451
73,2.447836,3.9784,3.8986,1.8153,0.1823,0.1468,0.1949
74,2.464628,3.9781,3.8815,1.8343,0.1343,0.0988,0.1459
75,2.480284,3.9767,3.8654,1.8512,0.09,0.0552,0.1007
76,2.494543,3.9761,3.8498,1.8657,0.0502,0.0158,0.0601
77,2.507558,3.9758,3.8356,1.88,0.0135,-0.0198,0.0218
78,2.519943,3.9745,3.822,1.8923,-0.0207,-0.0541,-0.0138
79,2.53074,3.9735,3.808,1.9041,-0.0516,-0.0836,-0.0464
80,2.541859,3.9724,3.7949,1.9144,-0.0809,-0.1116,-0.079
81,2.552444,3.9716,3.7815,1.9244,-0.1089,-0.1391,-0.1089
82,2.560423,3.9703,3.771,1.9324,-0.1311,-0.1599,-0.1334
83,2.568271,3.9694,3.7599,1.9394,-0.1519,-0.1798,-0.1571
84,2.576269,3.968,3.7494,1.9468,-0.1722,-0.1991,-0.18
85,2.58419,3.9665,3.7384,1.9537,-0.1924,-0.2173,-0.2039
86,2.591913,3.9655,3.727,1.9606,-0.2122,-0.2358,-0.227
87,2.59945,3.9639,3.716,1.967,-0.2319,-0.2532,-0.2497
88,2.606874,3.9622,3.7038,1.9729,-0.2501,-0.2699,-0.2725
89,2.614325,3.96,3.6924,1.9787,-0.2677,-0.2851,-0.2939
90,2.621309,3.9578,3.6802,1.9836,-0.2844,-0.2996,-0.3158
91,2.628078,3.9555,3.6679,1.9889,-0.3014,-0.3139,-0.3373
92,2.634951,3.9536,3.6558,1.9946,-0.3178,-0.3288,-0.3597
93,2.64148,3.9516,3.643,1.9993,-0.3343,-0.3415,-0.3807
94,2.648053,3.9496,3.6305,2.0034,-0.3498,-0.3539,-0.4012
95,2.654447,3.947,3.6173,2.0079,-0.3646,-0.3664,-0.4221
96,2.660555,3.9448,3.6035,2.0123,-0.3797,-0.3782,-0.4429
97,2.666403,3.9421,3.5901,2.0167,-0.3951,-0.3901,-0.4646
98,2.672162,3.9398,3.5769,2.0209,-0.4097,-0.4012,-0.4852
99,2.677752,3.9366,3.5628,2.0251,-0.4237,-0.412,-0.5062
100,2.68324,3.9338,3.5485,2.0289,-0.438,-0.423,-0.5271
101,2.688628,3.9314,3.5342,2.034,-0.4531,-0.4348,-0.5484
102,2.693884,3.9282,3.5199,2.0378,-0.467,-0.4454,-0.5694
103,2.698984,3.9259,3.5056,2.0422,-0.4813,-0.4555,-0.5897
104,2.704014,3.9233,3.4916,2.0464,-0.4948,-0.4655,-0.6094
105,2.709262,3.9209,3.4767,2.0506,-0.5095,-0.4763,-0.6297
106,2.715074,3.9185,3.4641,2.056,-0.525,-0.489,-0.6507
107,2.720891,3.9176,3.4543,2.0637,-0.544,-0.506,-0.6706
108,2.725956,3.9188,3.451,2.0711,-0.5623,-0.5262,-0.6868
109,2.729407,3.9209,3.4526,2.0774,-0.5776,-0.5446,-0.6968
110,2.732049,3.9229,3.4592,2.0832,-0.5898,-0.5619,-0.7027
111,2.734076,3.9269,3.4665,2.0891,-0.6014,-0.5776,-0.7054
112,2.734346,3.9272,3.4685,2.0901,-0.6025,-0.5797,-0.7058
113,2.734602,3.9285,3.4707,2.0908,-0.6044,-0.5828,-0.7054
114,2.734866,3.9293,3.4728,2.0919,-0.6057,-0.5856,-0.7055
115,2.735122,3.9292,3.475,2.093,-0.6074,-0.5884,-0.7051
116,2.735386,3.93,3.4767,2.0937,-0.6088,-0.5908,-0.7051
117,2.735645,3.9305,3.4792,2.0946,-0.6102,-0.5932,-0.704
118,2.735909,3.9314,3.4821,2.0955,-0.6116,-0.5958,-0.7033
119,2.736172,3.9332,3.484,2.0959,-0.6124,-0.5984,-0.7022
120,2.736434,3.9337,3.4874,2.0968,-0.6139,-0.6003,-0.7011
121,2.736697,3.9344,3.4898,2.098,-0.6146,-0.6031,-0.6998
122,2.736963,3.9355,3.493,2.0992,-0.616,-0.6057,-0.6989
123,2.737219,3.9366,3.4958,2.0999,-0.6167,-0.6074,-0.6975
124,2.737484,3.9373,3.4981,2.1008,-0.6165,-0.6082,-0.6951
125,2.737747,3.9386,3.5022,2.1023,-0.6191,-0.6127,-0.6939
126,2.738001,3.9395,3.505,2.1038,-0.62,-0.6146,-0.6923
127,2.738252,3.9414,3.5092,2.1052,-0.6217,-0.6181,-0.6902
128,2.73851,3.9429,3.5133,2.1066,-0.6233,-0.6219,-0.6885
129,2.738761,3.9436,3.516,2.1069,-0.6224,-0.6218,-0.6857
130,2.739018,3.9454,3.5216,2.1092,-0.625,-0.6261,-0.6834
131,2.739266,3.9459,3.5244,2.1099,-0.624,-0.6266,-0.6799
132,2.73951,3.9474,3.5297,2.1122,-0.6257,-0.6297,-0.6771
133,2.739753,3.9491,3.5336,2.1129,-0.6249,-0.6313,-0.6731
134,2.739997,3.9501,3.5378,2.1145,-0.6247,-0.6324,-0.6689
135,2.740232,3.9517,3.5424,2.1155,-0.6243,-0.6328,-0.6645
136,2.740466,3.953,3.5464,2.1172,-0.6236,-0.6326,-0.6599
137,2.740697,3.9545,3.5502,2.1184,-0.6218,-0.6325,-0.655
138,2.740927,3.9557,3.5543,2.12,-0.6212,-0.6329,-0.6493
139,2.741136,3.9579,3.5589,2.1214,-0.6208,-0.6341,-0.6453
140,2.74135,3.9592,3.5643,2.1236,-0.6206,-0.6351,-0.6399
141,2.741545,3.9615,3.5702,2.1257,-0.6204,-0.6371,-0.6345
142,2.741715,3.9633,3.5762,2.1279,-0.6202,-0.6389,-0.6295
143,2.741868,3.9656,3.5816,2.1303,-0.6216,-0.642,-0.6247
144,2.742005,3.9674,3.5872,2.1333,-0.6229,-0.6456,-0.6203
145,2.74212,3.9696,3.5924,2.1359,-0.6247,-0.6498,-0.6161
146,2.742218,3.9718,3.5983,2.1391,-0.6259,-0.6536,-0.6113
147,2.74231,3.9735,3.6034,2.1411,-0.6257,-0.6551,-0.6057
148,2.742272,3.9743,3.6019,2.1448,-0.6303,-0.6606,-0.6091
149,2.742262,3.9815,3.6014,2.1758,-0.6959,-0.7365,-0.6532
150,2.742339,3.998,3.604,2.2388,-0.8328,-0.8989,-0.748
151,2.742713,4.0123,3.6278,2.2709,-0.8966,-0.9836,-0.7769
152,2.742812,4.0156,3.6362,2.2747,-0.9049,-0.9977,-0.7789
153,2.742869,4.0158,3.6445,2.2691,-0.8934,-0.9877,-0.7679
154,2.742891,4.0167,3.6511,2.2658,-0.8867,-0.9819,-0.7604
155,2.742896,4.0182,3.6616,2.2632,-0.8826,-0.9817,-0.7529
156,2.74284,4.0253,3.6958,2.2571,-0.8652,-0.976,-0.7205
157,2.742736,4.0346,3.7588,2.2296,-0.7929,-0.9183,-0.629
158,2.742615,4.044,3.8356,2.1901,-0.6927,-0.8348,-0.5091
159,2.742498,4.0476,3.9116,2.1297,-0.549,-0.6998,-0.3575
160,2.742437,4.042,3.9456,2.0756,-0.4279,-0.5742,-0.2513
161,2.742391,4.0334,3.9245,2.0601,-0.4113,-0.5478,-0.2568
162,2.741675,4.0544,3.9833,2.0833,-0.4733,-0.6503,-0.2717
163,2.740912,4.0643,3.9964,2.1131,-0.5625,-0.7662,-0.3369
164,2.740098,4.066,3.9648,2.1497,-0.6773,-0.8915,-0.4504
165,2.739393,4.0579,3.896,2.1836,-0.7895,-0.9977,-0.5848
166,2.738813,4.0437,3.8135,2.2113,-0.884,-1.0761,-0.7137
167,2.738354,4.0281,3.7309,2.2323,-0.9598,-1.1324,-0.8258
168,2.737977,4.0138,3.6555,2.2496,-1.023,-1.1758,-0.9227
169,2.737661,4.0003,3.5847,2.2656,-1.0788,-1.2136,-1.0108
170,2.737406,3.9872,3.5168,2.2806,-1.1316,-1.248,-1.0939
171,2.73721,3.9756,3.4536,2.2972,-1.1843,-1.284,-1.1744
172,2.737088,3.9643,3.3928,2.315,-1.2384,-1.3221,-1.2522
173,2.737048,3.9545,3.3333,2.3336,-1.2932,-1.363,-1.3301
174,2.73708,3.9449,3.2768,2.3522,-1.3489,-1.405,-1.4058
175,2.737187,3.9364,3.2228,2.3717,-1.404,-1.4467,-1.4806
176,2.737357,3.929,3.1734,2.3916,-1.4591,-1.4901,-1.5522
177,2.737594,3.9227,3.1284,2.411,-1.5121,-1.5331,-1.6212
178,2.737865,3.9166,3.0858,2.4301,-1.5631,-1.5743,-1.6869
179,2.738167,3.911,3.0449,2.4483,-1.6121,-1.6129,-1.7504
180,2.738485,3.9051,3.0058,2.4653,-1.6576,-1.6481,-1.8104
181,2.738807,3.8998,2.9682,2.4815,-1.6995,-1.6795,-1.8654
182,2.739107,3.8952,2.9251,2.5062,-1.7642,-1.7362,-1.9427
183,2.739422,3.8906,2.8859,2.5271,-1.8221,-1.7857,-2.0127
184,2.739709,3.8865,2.85,2.5471,-1.8766,-1.8335,-2.0779
185,2.739974,3.8837,2.8203,2.5638,-1.9221,-1.873,-2.1324
186,2.740169,3.8813,2.7976,2.5759,-1.9589,-1.9056,-2.1767
187,2.740274,3.8794,2.788,2.5804,-1.9772,-1.9227,-2.1997
188,2.740282,3.8787,2.7978,2.5672,-1.9538,-1.9005,-2.1799
189,2.740237,3.8786,2.8303,2.5325,-1.8783,-1.8255,-2.1056
190,2.740159,3.8773,2.88,2.4793,-1.7545,-1.7016,-1.9849
191,2.740046,3.876,2.9429,2.4116,-1.5939,-1.541,-1.8285
192,2.739885,3.8749,3.0183,2.3311,-1.4037,-1.351,-1.642
193,2.73963,3.8737,3.1088,2.2354,-1.1764,-1.1232,-1.4179
194,2.739343,3.8722,3.2172,2.1218,-0.9035,-0.8497,-1.1485
195,2.739099,3.8681,3.3298,1.9928,-0.5844,-0.5225,-0.8393
196,2.738986,3.8619,3.4483,1.8507,-0.2282,-0.1538,-0.4975
197,2.738954,3.8531,3.561,1.7023,0.1477,0.2422,-0.1413
198,2.739072,3.8425,3.6578,1.5608,0.5137,0.6342,0.199
199,2.739326,3.8295,3.7261,1.4398,0.8336,0.9858,0.4896
200,2.739722,3.8147,3.7573,1.3489,1.0825,1.2719,0.7058
201,2.740095,3.801,3.7616,1.2917,1.2482,1.4702,0.8411
202,2.740376,3.7903,3.7516,1.2599,1.3473,1.5954,0.9168
203,2.740597,3.7821,3.7368,1.2405,1.4111,1.6813,0.9614
204,2.740798,3.7749,3.7171,1.2306,1.4495,1.7382,0.9835
205,2.740974,3.7683,3.6935,1.2297,1.4637,1.7687,0.9835
206,2.741123,3.7641,3.6699,1.2333,1.4633,1.7803,0.9719
207,2.741222,3.7596,3.6474,1.2404,1.4514,1.7792,0.9527
208,2.741291,3.7565,3.6278,1.2494,1.436,1.7707,0.931
209,2.741344,3.7548,3.6092,1.2595,1.415,1.7548,0.904
210,2.741377,3.7532,3.5917,1.2696,1.3903,1.7346,0.8761
211,2.741403,3.7515,3.577,1.2793,1.3674,1.7137,0.8495
212,2.741411,3.7509,3.5633,1.2885,1.3446,1.6939,0.8253
213,2.741398,3.7493,3.5483,1.299,1.3187,1.6701,0.7962
214,2.74142,3.7486,3.5345,1.3084,1.2958,1.6498,0.7706
215,2.741433,3.7475,3.5206,1.3177,1.273,1.63,0.7456
216,2.741441,3.7463,3.5067,1.3271,1.2496,1.6092,0.7204
217,2.741466,3.7458,3.5023,1.3306,1.2427,1.6026,0.7123
218,2.741487,3.7457,3.4984,1.3336,1.2353,1.5955,0.7046
219,2.741503,3.7451,3.4945,1.3371,1.2283,1.589,0.6969
220,2.741528,3.745,3.4902,1.3401,1.2222,1.584,0.6901
221,2.741545,3.7449,3.4872,1.3431,1.2136,1.5759,0.6817
222,2.74157,3.7443,3.4829,1.3456,1.2068,1.5698,0.6746
223,2.741586,3.7447,3.479,1.3486,1.1999,1.5637,0.667
224,2.741602,3.745,3.4751,1.3516,1.1939,1.5576,0.6594
225,2.741627,3.744,3.4717,1.3546,1.187,1.5515,0.6527
226,2.741644,3.7439,3.4673,1.3576,1.1801,1.5455,0.6451
227,2.741834,3.741,3.4314,1.3848,1.1161,1.4874,0.5762
228,2.742052,3.7391,3.3876,1.4176,1.0402,1.4189,0.4937
229,2.742228,3.7371,3.3519,1.445,0.9767,1.3615,0.4249
230,2.742288,3.7355,3.3257,1.4636,0.9337,1.3229,0.3788
231,2.742493,3.7331,3.2839,1.4967,0.8588,1.255,0.2976
232,2.742455,3.7321,3.275,1.5029,0.8434,1.2414,0.2807
233,2.742594,3.7302,3.2395,1.53,0.7802,1.1837,0.2129
234,2.742915,3.7272,3.1833,1.5749,0.6778,1.0898,0.1038
235,2.743035,3.7259,3.1577,1.5962,0.6271,1.0428,0.0502
236,2.743339,3.7233,3.1052,1.6371,0.5346,0.9592,-0.0494
237,2.743334,3.7223,3.0928,1.6467,0.5109,0.936,-0.0749
238,2.743605,3.7203,3.0453,1.6849,0.4237,0.8564,-0.1675
239,2.743912,3.7183,2.997,1.7243,0.3317,0.7716,-0.2649
240,2.744122,3.7159,2.9595,1.7539,0.2628,0.7081,-0.3383
241,2.744203,3.7147,2.9359,1.7728,0.2172,0.6647,-0.3867
242,2.744465,3.7129,2.8933,1.8071,0.1389,0.5923,-0.47
243,2.744635,3.7114,2.8634,1.8317,0.0813,0.5399,-0.5305
244,2.745042,3.7083,2.8006,1.8822,-0.0338,0.4341,-0.6533
245,2.745206,3.7067,2.7689,1.9069,-0.0922,0.3805,-0.7146
246,2.745386,3.7051,2.7363,1.9333,-0.1524,0.3255,-0.7788
247,2.745563,3.7031,2.7063,1.9574,-0.2074,0.2757,-0.838
248,2.745842,3.701,2.6624,1.9909,-0.2838,0.2068,-0.9191
249,2.746191,3.698,2.6107,2.0311,-0.3756,0.1238,-1.0183
250,2.74642,3.696,2.5744,2.0603,-0.439,0.0669,-1.0867
251,2.746647,3.6935,2.5334,2.0921,-0.5126,-0.0003,-1.1655
252,2.746907,3.691,2.4891,2.1266,-0.5885,-0.0687,-1.2478
253,2.74714,3.689,2.4457,2.1605,-0.6658,-0.1382,-1.3302
254,2.747378,3.6865,2.3999,2.1959,-0.7456,-0.2094,-1.4156
255,2.747657,3.6835,2.3491,2.2353,-0.832,-0.2876,-1.5081
256,2.747829,3.6815,2.3122,2.2642,-0.8957,-0.344,-1.5773
257,2.748165,3.6781,2.2538,2.3089,-0.9946,-0.4322,-1.6842
258,2.7484,3.6752,2.2094,2.3432,-1.0689,-0.4972,-1.7639
259,2.748574,3.6732,2.1701,2.3735,-1.1342,-0.5546,-1.8349
260,2.74876,3.6703,2.1299,2.404,-1.1981,-0.6113,-1.9056
261,2.74903,3.6674,2.0779,2.4431,-1.2809,-0.6831,-1.9958
262,2.749137,3.666,2.0493,2.4637,-1.3242,-0.7194,-2.0431
263,2.749395,3.6626,1.9969,2.5045,-1.4087,-0.7932,-2.136
264,2.749558,3.6603,1.9583,2.5339,-1.4696,-0.8462,-2.203
265,2.749676,3.6583,1.9255,2.5594,-1.5232,-0.892,-2.2611
266,2.749854,3.6561,1.8799,2.5941,-1.5966,-0.9559,-2.3412
267,2.750023,3.6529,1.8348,2.6287,-1.6654,-1.0137,-2.4179
268,2.750222,3.6497,1.7804,2.6687,-1.7462,-1.0799,-2.5075
269,2.750443,3.6457,1.7176,2.7141,-1.8331,-1.1489,-2.6058
270,2.750645,3.6408,1.6525,2.7602,-1.9188,-1.215,-2.7049
271,2.75058,3.6366,1.6106,2.7883,-1.9662,-1.248,-2.7617
272,2.750785,3.6318,1.5282,2.8479,-2.0829,-1.3419,-2.8935